itag,H1706_t1 ,H1706_t2 ,H1706_t3 ,H1706_t4 ,H1706_t5 ,H1706_t6 ,H1706_t7 ,H9775_t1 ,H9775_t2 ,H9775_t3 ,H9775_t4 ,H9775_t5 ,H9775_t6 ,H9775_t7 ,H9553_t1 ,H9553_t2 ,H9553_t3 ,H9553_t4 ,H9553_t5 ,H9492_t1 ,H9492_t2 ,H9492_t3 ,H9492_t4 
Solyc00g157080,0.340834732,0,0.525468603,0.254447081,1.299786878,3.235497654,5.171550388,1.117410958,0,0.527434943,0,0,0.721885842,0,0,0.650685526,0.291723964,1.970485413,0.915293414,1.291494177,0.35354397,0,1.84741358
Solyc01g079160,0.26509368,0,1.751562009,1.272235406,1.137313518,0.924427901,0.882947627,0.446964383,0.447152475,0,0,0.362639525,0.320838152,0,0.084187495,0,0,0.218942824,0.915293414,0.645747088,0,0.740132372,0.284217474
Solyc01g090870,0,0,23.64608713,24.93581395,26.645631,13.17309759,12.73967291,1.340893149,0,0,0,1.813197627,0.80209538,0,0,0,0,3.284142355,7.627445114,25.70073412,0,0,4.831697055
Solyc01g091050,23.59333754,5.60735259,28.55046075,21.62800189,56.86567591,32.81719049,62.3108754,34.63973969,3.279118152,37.97531591,5.485510962,11.24182529,17.88672696,11.87345711,12.96487421,10.16696134,12.83585441,7.006170358,25.62821558,91.56693714,9.192143219,17.51646613,61.67519182
Solyc01g103360,5.756319913,3.63720168,29.42624176,15.26682487,17.54712285,16.40859524,12.10899603,4.693126023,0.745254126,3.428327131,1.129369904,1.450558102,4.972991353,5.051139212,4.546124723,1.626713815,2.333791711,3.722028003,8.69528743,30.09181432,2.298035805,4.564149625,16.62672222
Solyc01g107590,94.25973857,95.77964424,217.018533,128.2413289,159.0614192,180.7256547,166.6248308,129.8431533,39.34941783,73.04973964,41.30267078,62.37399837,67.61664049,70.2567545,40.83093501,66.69526642,75.70236864,148.4432345,151.1759622,226.0114809,41.1878725,68.33888898,180.4780959
Solyc01g107910,100.8113395,78.35138619,157.815737,92.8731846,164.4230401,134.5042596,94.60153148,107.4949341,55.59595777,77.53293665,66.31014722,52.22009166,67.61664049,42.83628449,48.91293452,54.98292695,71.90995711,161.5798039,133.9379362,152.0088646,50.73355969,90.66621552,161.0091989
Solyc02g032840,24.99454699,8.63835399,65.15810675,36.89482676,57.51556935,43.67921833,30.02021932,33.29884654,14.01077756,31.11866165,13.71377741,15.59349959,19.81175587,15.87500895,14.48024912,14.64042434,14.29447423,30.87093814,35.84899204,58.50468621,7.954739324,19.24344166,43.76949097
Solyc02g068400,7.611975674,6.21355287,26.62374254,14.50348362,20.14669661,10.39981389,15.64078654,8.045358896,12.37121848,5.538066904,5.001495289,11.96710434,6.978229802,3.935952633,7.661062034,5.042812827,8.16827099,18.17225437,17.23802596,13.94813711,3.358667715,7.524679112,12.78978632
Solyc02g072240,53.62466445,21.82321008,206.3340047,100.25215,124.4545936,128.2643713,145.3079524,118.8925259,37.85890958,85.4444608,24.68479933,56.57176596,37.13701607,34.43958554,41.50443497,25.94608535,37.77825333,128.9573231,140.1924412,189.4621957,19.26814636,38.36352793,140.4034321
Solyc02g072500,18.06424078,16.51895763,43.96420643,36.89482676,36.7189793,27.03951611,32.54292683,26.81786299,19.67470891,20.83368026,11.93905327,13.41766244,24.62432815,16.53100106,20.03662378,18.30053042,14.87792216,25.17842472,30.66232936,37.45333113,18.03074247,24.54772366,29.2743998
Solyc02g077260,15.86775029,15.00345693,15.41374568,14.50348362,22.25885029,18.02634407,20.9384723,13.40893149,8.793998681,16.35048324,10.64834481,13.05502291,14.19708822,7.609508424,10.18668688,13.1763819,12.25240648,8.538770124,13.2717545,15.11048187,14.31853078,18.3799539,22.16896296
Solyc02g077400,8.634479869,5.91045273,38.1840518,22.39134314,37.04392602,21.72405568,22.95663831,5.363572597,3.428168978,6.329219319,3.226771154,6.527511457,9.063677789,5.641532107,7.408499549,3.741441775,3.646549549,6.130399063,11.28861877,30.09181432,3.18189573,10.3618532,27.14276875
Solyc02g080110,3.597699946,2.12170098,4.378905023,1.526682487,4.549254073,2.773283703,3.405655133,1.340893149,0.894304951,0.527434943,1.613385577,0.362639525,1.443771683,2.295972369,3.45168729,2.602742104,1.021033874,2.408371061,3.203526948,2.066390683,0.70708794,3.207240277,4.405370844
Solyc02g081970,16.05710291,11.21470518,28.02499215,22.64579022,27.29552444,21.26184173,29.89408395,21.90125477,11.62596436,19.77881037,10.00299058,14.50558102,12.75331653,12.46385,14.22768663,10.5736398,12.54413045,19.70485413,28.06899802,33.06225093,7.247651384,18.13324311,31.40603086
Solyc02g083480,11.73986298,1.97015091,38.88467661,23.91802562,50.8541616,26.11508821,38.47128947,14.74982464,1.639559076,7.911524148,1.613385577,9.791267186,12.83352607,0.393595263,1.262812423,1.545378124,1.896205766,10.07136989,18.00077047,32.02905559,1.237403895,19.36679706,32.11657454
Solyc02g083527,1.060374721,0.60620028,5.429842229,4.834494541,4.711727433,9.013172036,3.153384383,3.128750682,0.745254126,1.054869887,0.322677115,1.450558102,1.363562145,0.721591316,0.16837499,1.138699671,1.896205766,3.722028003,5.796858287,5.03682729,0.883859925,2.220397115,3.836935897
Solyc02g086430,6.740953582,3.48565161,27.67467975,16.28461319,17.87206957,13.63531154,17.28054642,6.480983555,4.173423103,7.911524148,1.774724135,7.978069559,5.293829505,2.689567633,6.061499631,2.277399341,2.333791711,7.881941653,12.05136328,18.85581498,1.944491835,5.304281997,13.21611253
